Change Type,Branch,Action,File Path,Status,Description,Commit Hash
Documentation,iot,Keep,airguard-esp32-iot-postgresql/SETUP-LINUX.md,N/A,Linux serial port setup - useful for development,N/A
Documentation,iot,Keep,airguard-esp32-iot-postgresql/TESTING-GUIDE.md,N/A,Hardware testing procedures,N/A
Documentation,iot,Keep,airguard-esp32-iot-postgresql/SCRIPTS.md,N/A,Helper scripts documentation,N/A
Documentation,iot,Keep,airguard-esp32-iot-postgresql/INTEGRATION.md,N/A,Integration instructions,N/A
Documentation,iot,Keep,airguard-esp32-iot-postgresql/SSH-ACCESS.md,N/A,SSH access setup,N/A
Documentation,netwatch,Keep,netwatch.new/API_SUMMARY.md,N/A,NetWatch API reference,N/A
Documentation,netwatch,Keep,netwatch.new/QUICKSTART.md,N/A,Quick start guide for NetWatch,N/A
Documentation,netwatch,Keep,netwatch.new/MONITOR_MODE_GUIDE.md,N/A,WiFi monitor mode setup,N/A
Documentation,netwatch,Keep,netwatch.new/LOGGING_INFO.md,N/A,Logging configuration,N/A
Documentation,netwatch,Keep,netwatch.new/DASHBOARD_GUIDE.md,N/A,NetWatch dashboard usage,N/A
Documentation,netwatch,Keep,netwatch.new/INSTALL.md,N/A,Installation instructions,N/A
Documentation,netwatch,Keep,netwatch.new/FIX_JSON_ERROR.md,N/A,Troubleshooting guide,N/A
Documentation,netwatch,Keep,netwatch.new/RENABLE_MONITOR_FIX.md,N/A,Monitor mode fixes,N/A
Documentation,netwatch,Modified,netwatch.new/api/README.md,Completed,Updated copyright year and formatting,N/A
Summary,ALL,Completed,Files Removed: 30,Completed,Total documentation files removed,N/A
Summary,ALL,Completed,Files Added: 12,Completed,New documentation and deployment scripts,N/A
Summary,ALL,Completed,Files Modified: 5,Completed,Integration code and API updates,N/A
Summary,ALL,Kept,Component Docs: 14,N/A,Useful hardware/component-specific docs retained,N/A
Summary,claude/review-master-prompt,Completed,Net Change: -13672 lines,Completed,Removed 13672 lines of redundant documentation,N/A
Summary,claude/review-master-prompt,Completed,Added: 1138 lines,Completed,Added comprehensive consolidated documentation,N/A
