Section,Component,Type,Technology,Location,Description,Status,Notes,Dependencies,Data_Flow
DONGLE_SERVICE,.env.example,Configuration,Environment,dongle-service/.env.example,Environment template for serial port and Redis,Complete,SERIAL_PORT REDIS_HOST REDIS_CHANNEL,None,Copy to .env

DOCKER_COMPOSE,postgres,Service,PostgreSQL 15,docker-compose.yml,Database service,Complete,Port 5543 volume: postgres_data,None,Backend → PostgreSQL
DOCKER_COMPOSE,redis,Service,Redis 7,docker-compose.yml,Cache and pub/sub service,Complete,Port 6379 volume: redis_data,None,Dongle + Backend → Redis
DOCKER_COMPOSE,backend,Service,Node.js 24,docker-compose.yml,Backend API service,Complete,Port 3001 depends on postgres + redis,PostgreSQL + Redis,Frontend → Backend
DOCKER_COMPOSE,dongle-service,Service,Python 3.11,docker-compose.yml,Dongle gateway service,Complete,USB device pass-through depends on redis,Redis,ESP32 → Dongle Service
DOCKER_COMPOSE,prisma-studio,Service,Node.js 24,docker-compose.yml,Database GUI service,Complete,Port 5555 depends on postgres,PostgreSQL,Browser → Prisma Studio

DATA_FLOW,ESP32 Sender,Hardware,ESP-NOW,Physical device,User presses button sends data via ESP-NOW,Requires Hardware,Wireless transmission to receiver,ESP32 Receiver,Button Press → Wireless
DATA_FLOW,ESP32 Receiver,Hardware,USB Serial,Physical device (USB dongle),Receives ESP-NOW data outputs to serial port,Requires Hardware,Connected via USB /dev/ttyUSB0,Dongle Service,Wireless → Serial
DATA_FLOW,Serial Port,Interface,USB,/dev/ttyUSB0 or COM port,USB serial communication interface,Requires Hardware,115200 baud rate,Dongle Gateway,Hardware → Software
DATA_FLOW,Dongle Gateway Parse,Process,Python,gateway.py parse functions,Parses serial data (JSON or fenced block format),Complete,Converts to standardized JSON,Redis Publisher,Serial → Parse
DATA_FLOW,Redis Publish,Event,Redis PubSub,dongle:data channel,Publishes dongle JSON to Redis channel,Complete,Message format: DongleData interface,Backend Subscriber,Parse → Publish
DATA_FLOW,Backend Subscribe,Event,Redis PubSub,dongle:data channel,Backend subscribes when pairing session starts,Complete,Background worker per session,Device Create/Update,Subscribe → Receive
DATA_FLOW,Device Create/Update,Database Op,Prisma ORM,Device model,Creates new device or updates existing with 19 fields,Complete,Conditional based on deviceId parameter,Database,Worker → Database
DATA_FLOW,GpsLog Create,Database Op,Prisma ORM,GpsLog model,Creates audit log entry for GPS sync,Complete,Tracks syncMethod: dongle,Database,Worker → Database
DATA_FLOW,PairingSession Update,Database Op,Prisma ORM,PairingSession model,Updates session status to paired and stores deviceId,Complete,Sets status: paired,Database,Worker → Database
DATA_FLOW,Frontend Poll,API Call,HTTP GET,/api/devices/pair/status/:sessionId,Frontend polls every 2 seconds for pairing status update,Complete,Polling implemented in handleUseGps with setInterval 2000ms,Backend API,Modal → Poll Loop → GET Request → Update State
DATA_FLOW,Frontend Display,UI Update,React setState,setup/page.tsx state hooks,GPS and IMU data rendered in modal on status: paired,Complete,useState hooks update modal content when gpsData and imuData set,Browser,API Response → setGpsData/setImuData → Render

TESTING,Manual E2E Test,Test Procedure,Manual,E2E-TESTING-NOW.md,Complete end-to-end testing workflow,Complete,Login → GPS Modal → Test Dongle → Verify,All Services,User → Browser → Terminal
TESTING,Playwright MCP,Automated Testing,Playwright + MCP,playwright-mcp-config/,AI-assisted browser automation testing,Ready (Not Yet Run),10 test scenarios in TEST-PROMPTS.md,AI Client + Running Services,AI → Playwright → Browser
TESTING,Test Dongle Endpoint,API Test,cURL,POST /api/devices/test-dongle,Simulates ESP32 button press without hardware,Complete,Injects standard test data,Backend API,Terminal → API → Redis
TESTING,Prisma Studio Verification,Database Test,Visual Inspection,http://localhost:5555,Manual verification of 19 dongle fields populated,Manual Process,Check Device model latest entry,PostgreSQL,Browser → Prisma Studio
TESTING,Redis Monitor,Integration Test,redis-cli SUBSCRIBE,dongle:data channel,Real-time monitoring of dongle messages,Manual Process,Watch messages flow through system,Redis,Terminal → Redis CLI

CONFIGURATION,.env.local (Frontend),Config File,Environment,airguard-frontend/.env.local,Frontend environment configuration,Must Create,Copy from .env.example - NEXT_PUBLIC_API_URL DATABASE_URL JWT secrets,None,Load at Runtime
CONFIGURATION,.env (Backend),Config File,Environment,airguard-backend/.env,Backend environment configuration,Must Create,Copy from .env.example DATABASE_URL JWT secrets,None,Load at Runtime
CONFIGURATION,.env (Dongle),Config File,Environment,dongle-service/.env,Dongle service configuration,Optional,SERIAL_PORT REDIS_HOST defaults work for Docker,None,Load at Runtime
CONFIGURATION,docker-compose.yml,Config File,Docker Compose,airguard-backend/docker-compose.yml,Multi-service orchestration,Complete,Defines all 5 services + networks + volumes,None,docker-compose up
CONFIGURATION,prisma/schema.prisma,Schema File,Prisma,airguard-backend/prisma/schema.prisma,Database schema definition,Complete,Device model with 19 new dongle fields,None,npx prisma migrate
CONFIGURATION,tsconfig.json (Backend),Config File,TypeScript,airguard-backend/tsconfig.json,TypeScript compiler configuration,Complete,Strict mode path aliases,None,tsc compile
CONFIGURATION,tsconfig.json (Frontend),Config File,TypeScript,airguard-frontend/tsconfig.json,TypeScript compiler configuration,Complete,Strict mode Next.js paths,None,Next.js Build
CONFIGURATION,next.config.ts,Config File,Next.js,airguard-frontend/next.config.ts,Next.js framework configuration,Complete,TypeScript ESLint ignore for build speed,None,Next.js Build
CONFIGURATION,tailwind.config.js,Config File,Tailwind CSS,airguard-frontend/tailwind.config.js,Tailwind utility-first CSS configuration,Complete,Custom Airguard color palette ag-green ag-lime etc,None,CSS Build
CONFIGURATION,playwright-mcp-config/claude-desktop-config.json,MCP Config,JSON,playwright-mcp-config/,Playwright MCP server configuration,Ready,Copy to AI client config location,AI Client,AI Client Load
CONFIGURATION,playwright-mcp-config/airguard-init.ts,Init Script,TypeScript,playwright-mcp-config/,Playwright page initialization script,Complete,Sets geolocation grants permissions,Playwright,Page Load

DOCUMENTATION,STEP-BY-STEP-FROM-NOW.md,Guide,Markdown,airguard-backend/,Complete setup instructions from current state,Complete,938 lines 3 phases with agent assignments,None,Local Agent Follow
DOCUMENTATION,E2E-TESTING-NOW.md,Guide,Markdown,airguard-backend/,End-to-end testing instructions,Complete,384 lines skip Part 2,None,Local Agent Testing
DOCUMENTATION,IMPLEMENTATION-ORDER.md,Guide,Markdown,airguard-backend/,Original 3-part implementation plan,Complete,765 lines detailed walkthrough,None,Reference
DOCUMENTATION,COMMANDS-CHEATSHEET.md,Cheatsheet,Markdown,airguard-backend/,Quick command reference,Complete,285 lines copy-paste commands,None,Quick Reference
DOCUMENTATION,PLAYWRIGHT-MCP-SETUP.md,Guide,Markdown,airguard-backend/,Playwright MCP setup and configuration,Complete,Full setup for Claude Desktop VS Code Cursor,None,MCP Setup
DOCUMENTATION,PLAYWRIGHT-TESTING-GUIDE.md,Guide,Markdown,airguard-backend/,Testing strategies and comparison,Complete,468 lines MCP vs Standard tests,None,Testing Strategy
DOCUMENTATION,playwright-mcp-config/TEST-PROMPTS.md,Test Scripts,Markdown,playwright-mcp-config/,10 copy-paste test prompts for AI,Complete,800+ lines ready-to-use prompts,AI Client,Copy to AI
DOCUMENTATION,MICROSERVICES.md,Architecture,Markdown,airguard-backend/,Complete microservices architecture guide,Complete,500+ lines design principles,None,Architecture Reference
DOCUMENTATION,LOCAL_TESTING_INSTRUCTIONS.md,Guide,Markdown,airguard-frontend/,Comprehensive frontend local testing guide,Complete,Created by Frontend Agent with Workflow A and B,None,Testing Reference
DOCUMENTATION,LOCAL_TESTING_GUIDE.md,Guide,Markdown,airguard-backend/,Comprehensive backend local testing,Complete,Backend version with troubleshooting,None,Testing Reference
DOCUMENTATION,QUICKSTART-DONGLE.md,Guide,Markdown,airguard-backend/,5-minute quick start,Complete,321 lines fast setup,None,Quick Start
DOCUMENTATION,CLAUDE.md,Codebase Guide,Markdown,airguard-backend/,AI assistant guide for backend,Complete,Comprehensive codebase documentation,None,AI Context
DOCUMENTATION,CLAUDE.md,Codebase Guide,Markdown,airguard-frontend/,AI assistant guide for frontend,Complete,Comprehensive frontend documentation,None,AI Context
DOCUMENTATION,dongle-service/README.md,Service Docs,Markdown,dongle-service/,Dongle service specific documentation,Complete,250+ lines service guide,None,Dongle Reference
DOCUMENTATION,FRONTEND_FIX_NEEDED.md,Issue Doc,Markdown,airguard-backend/,Frontend cyclic error fix instructions,Complete (Issue Resolved),Frontend agent already fixed this,None,Historical Reference

WORKFLOWS,Two-Stage Device Creation,Business Logic,Backend,src/controllers/pairingController.ts,Port scan creates device (setupComplete=false) then dongle updates (setupComplete=true),Complete,Supports both new and existing devices,Device Model,Port Scan → Dongle → Complete
WORKFLOWS,Pairing Session Lifecycle,State Machine,Backend,PairingSession model,waiting → paired/timeout/error within 60 seconds,Complete,Status transitions managed by worker,Redis Events,Create → Subscribe → Update → Expire
WORKFLOWS,Organization Multi-Tenancy,Authorization,Backend,middleware/auth.ts requireOrganization,All pairing endpoints require user.organizationId,Complete,403 if missing organizationId,User Model,Login → Token → Middleware Check
WORKFLOWS,GPS Sync with Audit Log,Data Integrity,Backend,pairingController.ts,Every GPS update creates GpsLog entry,Complete,Tracks syncMethod: dongle/manual,GpsLog Model,Device Update → Log Create
WORKFLOWS,User Login Flow,User Flow,React + Next.js,src/app/login/page.tsx → /api/auth/login,Login form validates credentials JWT stored in httpOnly cookie redirect to dashboard,Complete,Cookies managed server-side no localStorage,Auth API Routes,Login Page → Submit → API → Set Cookie → Redirect /dashboard/home
WORKFLOWS,GPS Modal Workflow,User Flow,React State Management,setup/page.tsx handleUseGps function,Click Use GPS → Modal open → Start polling → Display data → Confirm → Close,Complete,State: waiting → paired/timeout/error with 60s timeout,Pairing API,Button → setShowGpsModal(true) → POST pair/start → Poll GET status → Update → Close
WORKFLOWS,Error Display,Error Handling,React + ToastContext,src/contexts/ToastContext.tsx,Errors shown via toast notifications at top of screen,Complete,Toast types: success error info with auto-dismiss 5s,Error Helper,Catch Error → showToast(message type) → Toast Component → Auto-dismiss

TYPE_DEFINITIONS,DongleData,Interface,TypeScript,src/types/index.ts,Complete dongle data structure from ESP32,Complete,"19 fields: batchId sessionMs samples dateYMD timeHMS msec lat lon alt gpsFix sats ax ay az gx gy gz tempC receivedTs",Redis Message,Dongle → Backend
TYPE_DEFINITIONS,Device,Interface,TypeScript,src/types/index.ts,Device model with all 19 dongle fields,Complete,Matches Prisma Device model structure,Database Record,Backend → Frontend
TYPE_DEFINITIONS,PairingStatus,Response Type,TypeScript,src/types/index.ts,Pairing status API response,Complete,Includes gpsData + imuData + dongleBatchId when paired,API Response,Backend → Frontend
TYPE_DEFINITIONS,GpsData,Object,TypeScript,Pairing status response,GPS coordinates from dongle,Complete,lat lon alt accuracy heading timestamp,API Response,Backend → Frontend
TYPE_DEFINITIONS,ImuData,Object,TypeScript,Pairing status response,IMU sensor data from dongle,Complete,accelerometer{x y z} gyroscope{x y z} temperature,API Response,Backend → Frontend
TYPE_DEFINITIONS,DeviceFormData,Props Interface,TypeScript,src/app/dashboard/setup/page.tsx (lines 37-70),Form data interface for device setup with all 19 dongle fields,Complete,Includes GPS IMU metadata timestamp fields all as strings for form handling,Setup Page,Form State
TYPE_DEFINITIONS,ManagedDevice,State Interface,TypeScript,src/app/dashboard/setup/page.tsx (lines 105-112),Managed device object for port-scanned devices,Complete,id name ip manufacturer sshConfigured gpsConfigured,Managed Device Workflow,Port Scan → Managed Device List

SECURITY,JWT Authentication,Mechanism,jsonwebtoken,middleware/auth.ts authenticateToken,Bearer token authentication for all protected routes,Complete,Access token 15m refresh token 7d,Auth Service,Request → Middleware → Verify
SECURITY,Organization Check,Authorization,Express Middleware,middleware/auth.ts requireOrganization,Ensures user has organizationId before pairing,Complete,Returns 403 if missing,Auth Middleware,Token → Org Check → Allow/Deny
SECURITY,Rate Limiting,Protection,express-rate-limit,src/index.ts,100 requests per 15 minutes per IP,Complete,Applied to all /api/* routes,None,IP → Rate Limiter
SECURITY,CORS Configuration,Protection,cors,src/index.ts,Restricted origins localhost:3000 localhost:3003,Complete,Credentials: true,None,Browser → CORS Check
SECURITY,Helmet Security Headers,Protection,helmet,src/index.ts,Standard security headers,Complete,XSS CSP etc.,None,Response Headers
SECURITY,Password Hashing,Encryption,bcrypt,authService.ts,12 rounds bcrypt for passwords,Complete,Never store plain text,User Table,Password → Hash → Store
SECURITY,API Key Encryption,Encryption,AES-256-GCM,utils/encryption.ts,Encrypt API keys before storing,Complete,OpenAI Anthropic keys,UserSettings,API Key → Encrypt → Store
SECURITY,HttpOnly Cookies,Protection,cookie-parser,Frontend + Backend,JWT tokens in httpOnly cookies not accessible via JavaScript,Complete,Secure: true in production,Auth System,Server → Set-Cookie → Browser (no JS access)

BRANCHES,Backend Testing Branch,Git Branch,Git,claude/testing-mi0b9h5vic67o86f-01KDpTwVgzXRbJTMu7D6TbPr,Backend code complete all commits pushed,Complete,All backend work here,None,Backend Development
BRANCHES,Frontend Testing Branch,Git Branch,Git,claude/testing-01KFW6adLgAKjUb9c2rnFPud,Frontend code complete cyclic error fixed,Complete,All frontend work here - latest commit d3fcfbd,None,Frontend Development
BRANCHES,Dongle Branch,Git Branch,Git,dongle,Original ESP32 dongle project code,Reference Only,Used for research read-only,None,Historical Reference

DEPLOYMENT,Production Docker Build,Build Process,Docker Multi-stage,Dockerfile,Production-ready backend image,Complete,Node.js 24 LTS Alpine,None,Build → Image
DEPLOYMENT,Docker Compose Stack,Orchestration,Docker Compose,docker-compose.yml,Full stack deployment 5 services,Complete,Single command: docker-compose up,All Services,Up → Running
DEPLOYMENT,Database Migration,Deployment Step,Prisma Migrate,npx prisma migrate deploy,Apply migrations in production,Ready,Run before starting backend,PostgreSQL,Migrate → Deploy
DEPLOYMENT,Environment Configuration,Setup,Environment Variables,.env files,Production environment setup,Manual Required,JWT secrets encryption keys database URLs,None,Configure → Deploy
DEPLOYMENT,Frontend Build,Build Process,Next.js Build,npm run build,Production optimized static + server bundle,Complete,Output: .next/ directory with standalone server,Backend API,npm run build → .next/ → npm start
DEPLOYMENT,Frontend Environment,Config,Environment Variables,.env.local or .env.production,Frontend environment variables for API URLs and configs,Required,NEXT_PUBLIC_API_URL NEXT_PUBLIC_APP_URL DATABASE_URL JWT secrets,None,Build-time and Runtime

MIGRATIONS,20250117_add_complete_dongle_fields,Database Migration,SQL,prisma/migrations/,Adds 19 dongle fields to Device table,Ready to Apply,Creates new columns with nullable types,Prisma,Schema → SQL → Apply
MIGRATIONS,Previous Migrations,Database Migrations,SQL,prisma/migrations/,All previous migrations for base schema,Applied,Device Organization User PairingSession GpsLog etc.,Prisma,Historical

SCRIPTS,fix-user-organizations.ts,Utility Script,TypeScript,src/scripts/fix-user-organizations.ts,Assigns organizationId to users without one,Complete,npm run db:fix-orgs,Prisma,Script → Database
SCRIPTS,seed.ts,Utility Script,TypeScript,src/scripts/seed.ts,Database seeding script,Complete,npm run db:seed,Prisma,Script → Database
SCRIPTS,test-gateway.py,Test Script,Python,dongle-service/test-gateway.py,Test dongle service without ESP32,Complete,python test-gateway.py,Redis,Script → Redis
SCRIPTS,simulate-dongle-press.py,Test Script,Python,dongle branch reference,Original dongle test script,Reference,Not used in new architecture,None,Historical

ERRORS_FIXED,Cyclic Object Value,JavaScript Error,TypeError,Frontend error handling src/app/dashboard/setup/page.tsx,Console.error crashes when logging error objects with circular refs,Fixed,getErrorMessage() helper lines 38-45 safely extracts message,None,Error → getErrorMessage → Safe String
ERRORS_FIXED,403 Forbidden,HTTP Error,Authorization,Organization requirement,Users without organizationId get 403,Fixed,Run npm run db:fix-orgs then re-login to get new JWT,Organization Fix Script,Missing Org → Fix → Re-login
ERRORS_FIXED,DATABASE_URL Not Found,Environment Error,Prisma,Missing .env file,Migration fails without DATABASE_URL,Documented,Copy .env.example to .env or .env.local,Environment Setup,Copy → Configure

PORTS,3000,Frontend App,HTTP,Frontend Next.js,Main web application user interface,Used,Set in package.json npm run dev default,Backend API,Browser → :3000
PORTS,3001,Backend API,HTTP,Backend service,Main REST API endpoints,Used,Exposed in docker-compose,None,Frontend → :3001
PORTS,5432,PostgreSQL,TCP,Database internal,Internal PostgreSQL port,Internal,Not exposed outside Docker,Backend,Backend → :5432 (internal)
PORTS,5543,PostgreSQL External,TCP,Database external,External access to PostgreSQL,Exposed,For local tools and Prisma Studio,Database,Tools → :5543
PORTS,6379,Redis,TCP,Redis service,Redis internal and external port,Exposed,For backend dongle service and testing,Redis,Services → :6379
PORTS,5555,Prisma Studio,HTTP,Database GUI,Web interface for database management,Exposed,Browser access only,PostgreSQL,Browser → :5555

ENVIRONMENT_VARS,DATABASE_URL,Database Connection,PostgreSQL,Backend .env and Frontend .env.local,PostgreSQL connection string,Required,postgresql://user:pass@host:port/db,PostgreSQL,Backend + Frontend → Database
ENVIRONMENT_VARS,REDIS_HOST,Redis Host,Redis,Backend + Dongle .env,Redis server hostname,Required,Default: redis (Docker) or localhost,Redis,Services → Redis
ENVIRONMENT_VARS,REDIS_PORT,Redis Port,Redis,Backend + Dongle .env,Redis server port,Required,Default: 6379,Redis,Services → Redis
ENVIRONMENT_VARS,REDIS_CHANNEL,Redis Channel,Redis,Dongle .env,Pub/sub channel name,Required,Default: dongle:data,Redis,Publish/Subscribe
ENVIRONMENT_VARS,JWT_SECRET,JWT Signing,Authentication,Backend .env and Frontend .env.local,Secret key for access tokens,Required,32+ character random string,Auth Service,Token Generation
ENVIRONMENT_VARS,JWT_REFRESH_SECRET,JWT Signing,Authentication,Backend .env and Frontend .env.local,Secret key for refresh tokens,Required,32+ character random string,Auth Service,Token Generation
